inputDistricKey,strDistricts
604,Huyện Tĩnh Gia
605,Huyện Triệu Sơn
606,Huyện Vĩnh Lộc
607,Huyện Yên Định
608,Thành phố Thanh Hóa
609,Thị xã Bỉm Sơn
610,Thị xã Sầm Sơn
611,Huyện A Lưới
612,Huyện Nam Đông
613,Huyện Phong Điền
614,Huyện Phú Lộc
615,Huyện Phú Vang
616,Huyện Quảng Điền
617,Thành phố Huế
618,Thị xã Hương Thủy
619,Thị xã Hương Trà
620,Huyện Cái Bè
621,Huyện Cai Lậy
622,Huyện Châu Thành
623,Huyện Chợ Gạo
624,Huyện Gò Công Đông
625,Huyện Gò Công Tây
626,Huyện Tân Phú Đông
627,Huyện Tân Phước
628,Thành phố Mỹ Tho
629,Thị xã Cai Lậy
630,Thị xã Gò Công
631,Huyện An Dương
632,Huyện An Lão
633,Huyện Bạch Long Vĩ
634,Huyện Cát Hải
635,Huyện Kiến Thụy
636,Huyện Thủy Nguyên
637,Huyện Tiên Lãng
638,Huyện Vĩnh Bảo
639,Quận Đồ Sơn
640,Quận Dương Kinh
641,Quận Hải An
642,Quận Hồng Bàng
643,Quận Kiến An
644,Quận Lê Chân
645,Quận Ngô Quyền
646,Huyện Bình Chánh
647,Huyện Cần Giờ
648,Huyện Củ Chi
649,Huyện Hóc Môn
650,Huyện Nhà Bè
651,Quận 1
652,Quận 10
653,Quận 11
654,Quận 12
655,Quận 2
656,Quận 3
657,Quận 4
658,Quận 5
659,Quận 6
660,Quận 7
661,Quận 8
662,Quận 9
663,Quận Bình Tân
664,Quận Bình Thạnh
665,Quận Gò Vấp
666,Quận Phú Nhuận
667,Quận Tân Bình
668,Quận Tân Phú
669,Quận Thủ Đức
670,Huyện Càng Long
671,Huyện Cầu Kè
672,Huyện Cầu Ngang
673,Huyện Châu Thành
674,Huyện Duyên Hải
675,Huyện Tiểu Cần
676,Huyện Trà Cú
677,Thành phố Trà Vinh
678,Thị Xã Duyên Hải
679,Huyện Chiêm Hóa
680,Huyện Hàm Yên
681,Huyện Lâm Bình
682,Huyện Nà Hang
683,Huyện Sơn Dương
684,Huyện Yên Sơn
685,Thành phố Tuyên Quang
686,Huyện Bình Tân
687,Huyện Long Hồ
688,Huyện Mang Thít
689,Huyện Tam Bình
690,Huyện Trà Ôn
691,Huyện Vũng Liêm
692,Thành phố Vĩnh Long
693,Thị xã Bình Minh
694,Huyện Bình Xuyên
695,Huyện Lập Thạch
696,Huyện Sông Lô
697,Huyện Tam Đảo
698,Huyện Tam Dương
699,Huyện Vĩnh Tường
700,Huyện Yên Lạc
701,Thành phố Phúc Yên
702,Thành phố Vĩnh Yên
703,Huyện Lục Yên
704,Huyện Mù Cang Chải
705,Huyện Trạm Tấu
706,Huyện Trấn Yên
707,Huyện Văn Chấn
708,Huyện Văn Yên
709,Huyện Yên Bình
710,Thành phố Yên Bái
711,Thị xã Nghĩa Lộ
